Device,Test Name,Test Status,Message(s),Test description,Test category
dc1-leaf1a,VerifyInterfacesStatus,failure,"Interface: Port-Channel4 - Status mismatch - Expected: up/up, Actual: down/lowerLayerDown",Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc1-leaf1a,VerifyPortChannels,failure,"Interface: Port-Channel4 - Inactive port(s) - Ethernet4, PeerEthernet4",Verifies there are no inactive ports in port channels.,Interfaces
dc1-leaf1a,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
May  6 16:40:30 dc1-leaf1a PhyEthtool: %ETH-3-NETLINKFAIL: Cannot init netlink stats cache : NETLINK Error Error fetching statistics  <extra parameters: '-31' >
 May  6 16:40:37 dc1-leaf1a ProcMgr: %PROCMGR-3-SHUTDOWNREQUESTED: ProcMgr shutdown requested via SIGQUIT or SIGTERM to worker (PID=1398) -- Master ProcMgr (PID=1398) exiting.
 May  6 16:40:37 dc1-leaf1a Stp: %FWK-3-SOCKET_CLOSE_REMOTE: Connection to StpTxRx (pid:1802) at tbl://stpTxRxListen/+n closed by peer (EOF)
 May  6 16:40:37 dc1-leaf1a Stp: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbl://stpTxRxListen/+n-in)(StpTxRx (pid:1802))
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
dc1-leaf1a,VerifyMlagInterfaces,failure,MLAG status is not ok - Inactive Ports: 1 Partial Active Ports: 0,Verifies there are no inactive or active-partial MLAG ports.,MLAG
dc1-leaf1a,VerifyNTP,failure,NTP status mismatch - Expected: synchronised Actual: unsynchronised,Verifies if NTP is synchronised.,System
dc1-leaf1b,VerifyInterfacesStatus,failure,"Interface: Port-Channel4 - Status mismatch - Expected: up/up, Actual: down/lowerLayerDown",Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc1-leaf1b,VerifyPortChannels,failure,"Interface: Port-Channel4 - Inactive port(s) - Ethernet4, PeerEthernet4",Verifies there are no inactive ports in port channels.,Interfaces
dc1-leaf1b,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
May  6 16:40:30 dc1-leaf1b PhyEthtool: %ETH-3-NETLINKFAIL: Cannot init netlink stats cache : NETLINK Error Error fetching statistics  <extra parameters: '-31' >
 May  6 16:40:37 dc1-leaf1b ProcMgr: %PROCMGR-3-SHUTDOWNREQUESTED: ProcMgr shutdown requested via SIGQUIT or SIGTERM to worker (PID=1392) -- Master ProcMgr (PID=1392) exiting.
 May  6 16:40:38 dc1-leaf1b Stp: %FWK-3-SOCKET_CLOSE_REMOTE: Connection to StpTxRx (pid:1801) at tbl://stpTxRxListen/+n closed by peer (EOF)
 May  6 16:40:38 dc1-leaf1b Stp: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbl://stpTxRxListen/+n-in)(StpTxRx (pid:1801))
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
dc1-leaf1b,VerifyMlagInterfaces,failure,MLAG status is not ok - Inactive Ports: 1 Partial Active Ports: 0,Verifies there are no inactive or active-partial MLAG ports.,MLAG
dc1-leaf1b,VerifyNTP,failure,NTP status mismatch - Expected: synchronised Actual: unsynchronised,Verifies if NTP is synchronised.,System
dc1-leaf2a,VerifyInterfacesStatus,failure,"Interface: Port-Channel4 - Status mismatch - Expected: up/up, Actual: down/lowerLayerDown",Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc1-leaf2a,VerifyPortChannels,failure,"Interface: Port-Channel4 - Inactive port(s) - Ethernet4, PeerEthernet4",Verifies there are no inactive ports in port channels.,Interfaces
